NO_ENTIDADE,CO_ENTIDADE,NO_BAIRRO,TOTAL_MATRICULAS,TOTAL_COMP_ALUNOS,COMP_POR_100_ALUNOS,INFRA_BASICA,AMBIENTES_EDUC,ACESSIBILIDADE,TECNOLOGIA,INDICE_GERAL_INFRA
DAVID CARNEIRO E M CEIEI EF,41128745,XAXIM,765.0,63.0,8.235294117647058,1.0,0.8888888888888888,0.2857142857142857,0.8333333333333334,0.751984126984127
ESCOLA ESTRELINHA MAGICA,41146468,FANNY,174.0,1.0,0.5747126436781609,1.0,0.2222222222222222,0.14285714285714285,0.5,0.4662698412698413
PARANAVAI E MEI EF,41132157,XAXIM,1174.0,41.0,3.492333901192504,1.0,0.6666666666666666,0.42857142857142855,1.0,0.7738095238095237
DONATILA C DOS ANJOS E M PROFAEI EF,41128958,GUABIROTUBA,1106.0,32.0,2.8933092224231465,1.0,0.8888888888888888,0.0,0.8333333333333334,0.6805555555555556
NASCER DO SABER CEI,41160347,BIGORRILHO,166.0,3.0,1.8072289156626504,1.0,0.1111111111111111,0.14285714285714285,0.6666666666666666,0.4801587301587301
RONDON II C M E I MAL,41356705,CIC,136.0,11.0,8.088235294117647,1.0,0.3333333333333333,0.0,0.8333333333333334,0.5416666666666666
LULA E M DONAEI EF,41130693,UBERABA,588.0,43.0,7.312925170068027,1.0,0.6666666666666666,0.2857142857142857,0.8333333333333334,0.6964285714285714
BOLESLAU FALARZ E M MONSENHOR EI EF-,41127714,SAO BRAZ,800.0,77.0,9.625,1.0,0.7777777777777778,0.2857142857142857,0.6666666666666666,0.6825396825396824
MULTIDISCIPLINAR E EI EF MOD ED ESP,41378725,LINDOIA,8.0,3.0,37.5,1.0,0.1111111111111111,0.14285714285714285,0.5,0.4384920634920635
CENTRO DE EDUCACAO INFANTIL DOCE NINHO,41604903,JARDIM DAS AMERICAS,312.0,4.0,1.282051282051282,1.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.5714285714285714
SENHORA DA LUZ C E I,41356187,CID INDUS CURITIBA,286.0,0.0,0.0,1.0,0.3333333333333333,0.14285714285714285,0.5,0.494047619047619
AMAR NOVOS CAMINHOS C E I,41372964,SANTA CANDIDA,256.0,0.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.5714285714285714
